Unnamed: 0,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2,area_por_quarto,tem_vaga
2029,2023-12-06 12:58:25.322444,Vivareal,2651024353,"Apartamento com 3 Quartos para Aluguel, 236m²",Apartamento,"Rua Bocaiúva, 2205 - Centro, Florianópolis - SC",Rua Bocaiúva,2205.0, Centro,florianopolis,13750,Mês,1600.0,236.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-236m2-aluguel-RS13750-id-2651024353/,Garagem,Residencial,15350.0,58.26271186440678,6.779661016949152,78.66666666666667,1
2032,2023-12-06 12:58:25.327639,Vivareal,2490584876,Apartamento com 2 Quartos para Venda/Aluguel 100m²,Apartamento,"Rua dos Chernes, 45 - Jurerê, Florianópolis - SC",Rua dos Chernes,45.0, Jurerê,florianopolis,6500,Mês,450.0,100.0,2.0,2.0,2.0,https://vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1990000-id-2490584876/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...,Residencial,6950.0,65.0,4.5,50.0,1
2033,2023-12-06 12:58:25.329371,Vivareal,2667483304,Casa de condomínio com 2 Quartos para Venda/Aluguel 185m²,Casa,"Cacupé, Florianópolis - SC",,,Cacupé,florianopolis,14500,Mês,2270.0,185.0,3.0,2.0,2.0,https://vivareal.com.br/imovel/casa-de-condominio-2-quartos-cacupe-bairros-florianopolis-com-garagem-185m2-venda-RS2400000-id-2667483304/,Ar-condicionado; Condomínio fechado; Cozinha; Área de serviço,Residencial,16770.0,78.37837837837837,12.27027027027027,92.5,1
2035,2023-12-06 12:58:26.495452,Vivareal,2673813761,"Apartamento com 3 Quartos para Aluguel, 64m²",Apartamento,"Centro, Florianópolis - SC",,,Centro,florianopolis,2200,Mês,620.0,64.0,1.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-64m2-aluguel-RS2200-id-2673813761/,Ar-condicionado; Cozinha; Garagem,Residencial,2820.0,34.375,9.6875,21.333333333333332,1
2036,2023-12-06 12:58:26.497352,Vivareal,2673918130,"Apartamento com 2 Quartos para Aluguel, 59m²",Apartamento,"Trindade, Florianópolis - SC",,,Trindade,florianopolis,2500,Mês,560.0,59.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-59m2-aluguel-RS2500-id-2673918130/,Mobiliado; Churrasqueira; Varanda; Garagem; Área de serviço; ...,Residencial,3060.0,42.3728813559322,9.491525423728811,29.5,1
2037,2023-12-06 12:58:26.499142,Vivareal,2673818210,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,4200,Mês,510.0,70.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-70m2-aluguel-RS4200-id-2673818210/,Churrasqueira; Academia; Espaço gourmet; Jardim; Salão de festas; ...,Residencial,4710.0,60.0,7.285714285714286,35.0,1
2038,2023-12-06 12:58:26.500992,Vivareal,2674027886,"Apartamento com 3 Quartos para Aluguel, 146m²",Apartamento,"Centro, Florianópolis - SC",,,Centro,florianopolis,7500,Mês,1341.0,146.0,5.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-146m2-aluguel-RS7500-id-2674027886/,Piscina; Churrasqueira; Elevador; Varanda; Ar-condicionado; ...,Residencial,8841.0,51.36986301369863,9.184931506849315,48.666666666666664,1
2039,2023-12-06 12:58:26.502751,Vivareal,2674024021,"Apartamento com 2 Quartos para Aluguel, 101m²",Apartamento,"Centro, Florianópolis - SC",,,Centro,florianopolis,5200,Mês,928.0,101.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-101m2-aluguel-RS5200-id-2674024021/,Elevador; Condomínio fechado; Ar-condicionado; Jardim; Área de serviço; ...,Residencial,6128.0,51.48514851485149,9.188118811881187,50.5,1
2040,2023-12-06 12:58:26.504509,Vivareal,2644765933,Casa com 4 Quartos para Venda/Aluguel 285m²,Casa,"Rua das Guaracemas - Jurerê Internacional, Florianópolis - SC",Rua das Guaracemas ,, Jurerê Internacional,florianopolis,15000,Mês,0.0,285.0,4.0,4.0,2.0,https://vivareal.com.br/imovel/casa-4-quartos-jurere-internacional-bairros-florianopolis-com-garagem-285m2-venda-RS3380000-id-2644765933/,Mobiliado; Aceita animais; Lareira; Piscina; Ar-condicionado,Residencial,15000.0,52.63157894736842,0.0,71.25,1
2041,2023-12-06 12:58:26.506249,Vivareal,2526806318,Casa com 4 Quartos para Venda/Aluguel 400m²,Casa,"Rua das Tainhas - Jurerê Internacional, Florianópolis - SC",Rua das Tainhas ,, Jurerê Internacional,florianopolis,18000,Mês,0.0,400.0,6.0,4.0,3.0,https://vivareal.com.br/imovel/casa-4-quartos-jurere-internacional-bairros-florianopolis-com-garagem-400m2-venda-RS3900000-id-2526806318/,Piscina; Mobiliado; Aceita animais; Ar-condicionado; Varanda gourmet; ...,Residencial,18000.0,45.0,0.0,100.0,1
2046,2023-12-06 12:58:26.514860,Vivareal,2666593578,"Casa com 4 Quartos para Aluguel, 298m²",Casa,"Lagoa da Conceição, Florianópolis - SC",,,Lagoa da Conceição,florianopolis,19000,Mês,0.0,298.0,5.0,4.0,2.0,https://vivareal.com.br/imovel/casa-4-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-298m2-aluguel-RS19000-id-2666593578/,,Residencial,19000.0,63.758389261744966,0.0,74.5,1
2053,2023-12-06 12:58:26.526799,Vivareal,2619345831,"Apartamento com 3 Quartos para Aluguel, 146m²",Apartamento,"Avenida Governador Irineu Bornhausen, 3322 - Beira Mar, Florianópolis - SC",Avenida Governador Irineu Bornhausen,3322.0, Beira Mar,florianopolis,13500,Mês,1100.0,146.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-beira-mar-bairros-florianopolis-com-garagem-146m2-aluguel-RS13500-id-2619345831/,Elevador; Salão de festas; Sala de jantar; Ar-condicionado; Jardim,Residencial,14600.0,92.46575342465754,7.534246575342466,48.666666666666664,1
2056,2023-12-06 12:58:26.531866,Vivareal,2653054927,Apartamento com 3 Quartos para Venda/Aluguel 82m²,Apartamento,"Rua da Capela, 179 - Campeche, Florianópolis - SC",Rua da Capela,179.0, Campeche,florianopolis,5250,Mês,550.0,82.0,2.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-82m2-venda-RS1075000-id-2653054927/,Elevador; Varanda; Academia; Garagem; Playground; ...,Residencial,5800.0,64.02439024390245,6.7073170731707314,27.333333333333332,1
2059,2023-12-06 12:58:26.536947,Vivareal,2604698605,"Apartamento com 2 Quartos para Aluguel, 70m²",Apartamento,"Rua Frei Evaristo - Centro, Florianópolis - SC",Rua Frei Evaristo ,, Centro,florianopolis,8250,Mês,800.0,70.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-70m2-aluguel-RS8250-id-2604698605/,Piscina; Mobiliado; Aceita animais; Espaço gourmet; Garagem; ...,Residencial,9050.0,117.85714285714286,11.428571428571429,35.0,1
2061,2023-12-06 12:58:26.540318,Vivareal,2609201093,"Apartamento com 4 Quartos para Aluguel, 179m²",Apartamento,"Estrada Haroldo Soares Glavan, 3838 - Cacupé, Florianópolis - SC",Estrada Haroldo Soares Glavan,3838.0, Cacupé,florianopolis,12000,Mês,1500.0,179.0,5.0,4.0,1.0,https://vivareal.com.br/imovel/apartamento-4-quartos-cacupe-bairros-florianopolis-com-garagem-179m2-aluguel-RS12000-id-2609201093/,Mobiliado; Elevador; Ar-condicionado; Playground; Varanda gourmet; ...,Residencial,13500.0,67.0391061452514,8.379888268156424,44.75,1
2062,2023-12-06 12:58:26.542076,Vivareal,2672551984,"Casa com 3 Quartos para Aluguel, 150m²",Casa,"Servidão Alzira Costa de Souza, 79 - Costeira do Pirajubaé, Florianópolis - SC",Servidão Alzira Costa de Souza,79.0, Costeira do Pirajubaé,florianopolis,4000,Mês,0.0,150.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/casa-3-quartos-costeira-do-pirajubae-bairros-florianopolis-150m2-aluguel-RS4000-id-2672551984/,Mobiliado; Churrasqueira; Varanda; Espaço gourmet; Armário na cozinha; ...,Residencial,4000.0,26.666666666666668,0.0,50.0,1
