tipo,bairro,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,area_por_quarto,tem_vaga,valor
Casa,Campeche,0.0,270.0,2.0,3.0,2.0,90.0,1,6810
Apartamento,Canto,656.0,83.0,2.0,3.0,2.0,27.666666666666668,1,4300
Apartamento, Centro,664.0,42.0,1.0,1.0,1.0,42.0,1,2890
Apartamento,Ingleses do Rio Vermelho,245.0,36.0,1.0,1.0,1.0,36.0,1,2000
Casa, Ribeirão da Ilha,0.0,123.0,3.0,3.0,1.0,41.0,1,4950
Apartamento, Itacorubi,550.0,70.0,2.0,2.0,1.0,35.0,1,2530
Casa, Joao Paulo,0.0,500.0,3.0,4.0,4.0,125.0,1,7910
Casa, Barra da Lagoa,300.0,72.0,1.0,2.0,1.0,36.0,1,2800
Apartamento, Itacorubi,510.0,64.0,1.0,2.0,1.0,32.0,1,3200
Apartamento, Itacorubi,648.0,72.0,2.0,2.0,1.0,36.0,1,3000
Apartamento,Ingleses Norte,498.0,173.0,3.0,3.0,2.0,57.66666666666666,1,5500
Apartamento,Centro,615.0,61.0,1.0,3.0,1.0,20.33333333333333,1,2300
Apartamento,Jurerê,650.0,75.0,3.0,2.0,2.0,37.5,1,5000
Apartamento, Centro,460.0,35.0,1.0,1.0,1.0,35.0,1,970
Casa, Ingleses do Rio Vermelho,0.0,100.0,2.0,3.0,2.0,33.333333333333336,1,2400
Apartamento, Itacorubi,582.0,72.0,1.0,2.0,1.0,36.0,1,2700
Casa,Campeche,0.0,120.0,2.0,3.0,2.0,40.0,1,8000
Casa,Campeche,0.0,125.0,3.0,3.0,2.0,41.66666666666666,1,5300
Casa, Barra da Lagoa,0.0,100.0,3.0,2.0,1.0,50.0,1,6000
Apartamento, Centro,430.0,31.0,1.0,1.0,1.0,31.0,1,940
Apartamento, Itacorubi,650.0,89.0,3.0,3.0,1.0,29.666666666666668,1,4600
Casa, Ribeirão da Ilha,0.0,139.0,3.0,3.0,1.0,46.333333333333336,1,4400
Apartamento,Canto,736.0,80.0,2.0,3.0,1.0,26.666666666666668,1,3900
Apartamento, Campeche,500.0,76.0,2.0,2.0,2.0,38.0,1,3800
Apartamento, Centro,365.0,50.0,1.0,1.0,1.0,50.0,1,1800
Apartamento, Trindade,430.0,47.0,1.0,1.0,1.0,47.0,1,2300
Apartamento,Agronômica,500.0,40.0,1.0,1.0,1.0,40.0,1,4500
Apartamento, Parque São Jorge,1018.0,125.0,3.0,4.0,2.0,31.25,1,5500
Apartamento, Centro,1400.0,170.0,3.0,3.0,1.0,56.66666666666666,1,3500
Apartamento, Campeche,1000.0,98.0,2.0,3.0,1.0,32.666666666666664,1,5000
Casa, Jurerê Internacional,2000.0,900.0,5.0,7.0,5.0,128.57142857142858,1,38900
Apartamento,Coqueiros,310.0,42.0,1.0,1.0,1.0,42.0,1,1500
Apartamento, Canasvieiras,1575.0,75.0,2.0,2.0,1.0,37.5,1,3500
Apartamento, Estreito,657.0,97.0,2.0,3.0,2.0,32.333333333333336,1,4500
Apartamento,Lagoa da Conceição,550.0,37.0,1.0,1.0,1.0,37.0,1,2200
Casa,Campeche,0.0,125.0,2.0,3.0,1.0,41.66666666666666,1,5310
Apartamento,Jurerê,0.0,50.0,1.0,1.0,1.0,50.0,1,3000
Apartamento, Centro,680.0,71.0,2.0,2.0,1.0,35.5,1,3500
Apartamento,Ribeirão da Ilha,200.0,58.0,1.0,2.0,1.0,29.0,1,1900
Apartamento, Centro,1893.0,158.0,3.0,4.0,1.0,39.5,1,7600
Casa, Jurerê Internacional,0.0,600.0,4.0,6.0,4.0,100.0,1,28000
Apartamento,Centro,342.0,40.0,1.0,1.0,1.0,40.0,1,1900
