,data,fonte,id,descricao,tipo,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities,categoria,valor_total,valor_m2,valor_condo_m2
5466,2023-12-05 00:43:50.472937,Vivareal,2653165868,"Sala/Conjunto    para Aluguel, 60m²",Sala/Conjunto,"Agronômica, Florianópolis - SC",,,Agronômica,florianopolis,2500,Mês,0.0,60.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-agronomica-bairros-florianopolis-com-garagem-60m2-aluguel-RS2500-id-2653165868/,Mais de um andar; Área de serviço; Escritório; Garagem,Residencial,2500.0,41.666666666666664,0.0
5467,2023-12-05 00:43:50.474340,Vivareal,2666479298,"Sala/Conjunto    para Aluguel, 60m²",Sala/Conjunto,"Centro, Florianópolis - SC",,,Centro,florianopolis,3000,Mês,0.0,60.0,,,1.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-60m2-aluguel-RS3000-id-2666479298/,,Residencial,3000.0,50.0,0.0
5468,2023-12-05 00:43:50.475788,Vivareal,2664576539,"Casa com  Quarto para Aluguel, 30m²",Casa,"Rua João Alcântara da Cunha, 59 - Coqueiros, Florianópolis - SC",Rua João Alcântara da Cunha,59.0, Coqueiros,florianopolis,1500,Mês,0.0,30.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/casa-1-quartos-coqueiros-bairros-florianopolis-com-garagem-30m2-aluguel-RS1500-id-2664576539/,Cozinha; Área de serviço,Residencial,1500.0,50.0,0.0
5469,2023-12-05 00:43:50.477314,Vivareal,2644474286,"Cobertura com 2 Quartos para Aluguel, 115m²",Cobertura,"Rua Ana Luiza Vieira, 115 - Campeche, Florianópolis - SC",Rua Ana Luiza Vieira,115.0, Campeche,florianopolis,7700,Mês,500.0,115.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/cobertura-2-quartos-campeche-bairros-florianopolis-com-garagem-115m2-aluguel-RS7700-id-2644474286/,Mobiliado; Elevador; Aceita animais; Ar-condicionado; Cozinha; ...,Residencial,8200.0,66.95652173913044,4.3478260869565215
5470,2023-12-05 00:43:50.478880,Vivareal,2632592867,Apartamento com 3 Quartos para Venda/Aluguel 237m²,Apartamento,"Centro, Florianópolis - SC",,,Centro,florianopolis,11500,Mês,2300.0,237.0,5.0,3.0,3.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-237m2-venda-RS3850000-id-2632592867/,Elevador; Academia; Garagem; Ar-condicionado; Jardim; ...,Residencial,13800.0,48.52320675105485,9.70464135021097
5471,2023-12-05 00:43:50.480496,Vivareal,2659710870,"Apartamento com 3 Quartos para Aluguel, 130m²",Apartamento,"Carianos, Florianópolis - SC",,,Carianos,florianopolis,2700,Mês,90.0,130.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-carianos-bairros-florianopolis-com-garagem-130m2-aluguel-RS2700-id-2659710870/,,Residencial,2790.0,20.76923076923077,0.6923076923076923
5472,2023-12-05 00:43:50.482070,Vivareal,2609576874,"Apartamento com 2 Quartos para Aluguel, 71m²",Apartamento,"Rua Felipe Schmidt, 869 - Centro, Florianópolis - SC",Rua Felipe Schmidt,869.0, Centro,florianopolis,4100,Mês,850.0,71.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-71m2-aluguel-RS4100-id-2609576874/,Piscina; Churrasqueira; Varanda; Academia; Espaço gourmet; ...,Residencial,4950.0,57.74647887323944,11.971830985915492
5473,2023-12-05 00:43:50.483655,Vivareal,2657449383,"Casa com 6 Quartos para Aluguel, 500m²",Casa,"Jurerê Internacional, Florianópolis - SC",,,Jurerê Internacional,florianopolis,10000,Dia,0.0,500.0,8.0,6.0,3.0,https://vivareal.com.br/imovel/casa-6-quartos-jurere-internacional-bairros-florianopolis-com-garagem-500m2-aluguel-RS10000-id-2657449383/,Piscina; Mobiliado; Churrasqueira; Varanda; Quintal; ...,Residencial,10000.0,20.0,0.0
5474,2023-12-05 00:43:50.485272,Vivareal,2609096988,"Apartamento com  Quarto para Aluguel, 45m²",Apartamento,"Rua das Gaivotas, 925 - Ingleses Norte, Florianópolis - SC",Rua das Gaivotas,925.0, Ingleses Norte,florianopolis,350,Dia,0.0,45.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-ingleses-norte-bairros-florianopolis-com-garagem-45m2-aluguel-RS350-id-2609096988/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...,Residencial,350.0,7.777777777777778,0.0
5475,2023-12-05 00:43:50.486860,Vivareal,2661655057,"Sala/Conjunto    para Aluguel, 60m²",Sala/Conjunto,"Rua Jerônimo Coelho - Centro, Florianópolis - SC",Rua Jerônimo Coelho ,, Centro,florianopolis,1700,Mês,0.0,60.0,1.0,,,https://vivareal.com.br/imovel/centro-bairros-florianopolis-60m2-aluguel-RS1700-id-2661655057/,Cozinha,Residencial,1700.0,28.333333333333332,0.0
5476,2023-12-05 00:43:50.488458,Vivareal,2619018333,"Sala/Conjunto    para Aluguel, 43m²",Sala/Conjunto,"Agronômica, Florianópolis - SC",,,Agronômica,florianopolis,2250,Mês,0.0,43.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-agronomica-bairros-florianopolis-43m2-aluguel-RS2250-id-2619018333/,,Residencial,2250.0,52.325581395348834,0.0
5478,2023-12-05 00:43:50.491558,Vivareal,2659711597,"Casa com 3 Quartos para Aluguel, 138m²",Casa,"Campeche, Florianópolis - SC",,,Campeche,florianopolis,7900,Mês,0.0,138.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-campeche-bairros-florianopolis-com-garagem-138m2-aluguel-RS7900-id-2659711597/,Mobiliado; Churrasqueira; Varanda; Quintal; Espaço gourmet; ...,Residencial,7900.0,57.2463768115942,0.0
5479,2023-12-05 00:43:50.493109,Vivareal,2554411147,"Ponto comercial/Loja/Box    para Aluguel, 16m²",Ponto,"Rua Tenente Silveira - Centro, Florianópolis - SC",Rua Tenente Silveira ,, Centro,florianopolis,500,Mês,0.0,16.0,,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-16m2-aluguel-RS500-id-2554411147/,Elevador,Comercial,500.0,31.25,0.0
5480,2023-12-05 00:43:50.494688,Vivareal,2652342972,"Apartamento com 2 Quartos para Aluguel, 45m²",Apartamento,"Rua General Eurico Gaspar Dutra - Estreito, Florianópolis - SC",Rua General Eurico Gaspar Dutra ,, Estreito,florianopolis,2250,Mês,200.0,45.0,1.0,2.0,,https://vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-45m2-aluguel-RS2250-id-2652342972/,Aceita animais; Mobiliado,Residencial,2450.0,50.0,4.444444444444445
5481,2023-12-05 00:43:51.274893,Vivareal,2574537551,"Casa com 4 Quartos para Aluguel, 350m²",Casa,"Travessa da Moita Verde, 417 - Rio Tavares, Florianópolis - SC",Travessa da Moita Verde,417.0, Rio Tavares,florianopolis,15000,Mês,0.0,350.0,2.0,4.0,4.0,https://vivareal.com.br/imovel/casa-4-quartos-rio-tavares-bairros-florianopolis-com-garagem-350m2-aluguel-RS15000-id-2574537551/,Piscina; Mobiliado; Quintal; Aceita animais; Ar-condicionado; ...,Residencial,15000.0,42.857142857142854,0.0
